Do you prefer cold or hot weather?,,,,,
Do you prefer day or wet weather?,,,,,
Do you get in the habit of checking the weather forecast? When/How often?,,,,,
Describe an outdoor activity you did in a new place recently,You should say,What the activity is,Who invited you to participate in it,Whether you asked for help in the activity,And explain what change you had in the activity
Describe a person you know who is from a different culture,You should say,Who he/she is,Where he/she is from,How you knew him/her,And explain how you feel about this person
Describe something you had to share with others,You should say,What it was,Who you shared it with,Why you had to share it with others,And explain how you felt about it
Describe a person who likes to dress fashionably/well,You should say,Who he/she is,What job he/she does,What kind of  dresses he/she wears,And explain why he/she likes fashion
Describe a disagreement you had with someone,You should say,Who you had a disagreement with,What the disagreement was,What happened,And explain how you felt about it
Describe a time when you received money as a gift,You should say,When it happened,Who gave you money,Why he/she gave money,And explain how you felt about it
Describe an important thing you learned(not at school or college),You should say,What it is,When you learned it,How you leaned it,And explain why it was important
"Describe a time when you saw a lot of plastic waste(e.g in the park, on the beach etc.)",You should say,Where you saw the plastic waste,When you saw them,What you did,And explain how you felt about it
Describe a person who likes to grow plants(e.g vegetables/fruits/flowers etc.) ,You should say,Who the person is,What he/she grows,Where he/she keeps the plants,And explain why he/she enjoys growing plants?
Describe a friend from your childhood,You should say,Who he/she is,Where you met each other,What you often did together,And explain what made you like him/her
Describe a movie you watched recently and would like to watch again,You should say,What type of movie it was ,What it was about,Where you watched it ,And explain why you would like to watch it again
Describe a popular place for doing sports that you've been to ,You should say,Where it is,When you went there,What you did there,And explain how you feel about this place
Describe a place in your country that you want to recommend to visitors,You should say ,What it is,Where it is,What people can do there,And explain why you like to recommend it to visitors
Describe a person who inspired you to do something interesting,You should say,What it is,What it is about ,Who you watch it with,And explain why you like to watch it
Describe a story or novel you have read that you found intersting,You should say,When you read it,What the story or novel was about,Who wrote it,And explain why you read it
Describe a time when you overcame difficulties in doing something and succeeded,You should say,What the difficult task was,How you overcame the difficulties,Whether you got help,And explain how you felt when you succeeded
Describe a problem you had while shopping online or in a store,You should say,When it happened,What you bought,What problem you had,And explain how you felt about the experienced
Describe a time when you forgot/missed an appointment,You should say,What the appointment was for,Who you made it with,Why you forgot/missed it,And explain how you felt about the experience
Describe a time you made a decision to wait for something,You should say,When it happened,What you waited for,When you made the decision,And explain how you felt about the decision
Describe a photo you took that you are proud of,You should say,When you took it,Where you took it ,What is in this photo,And explain why you are proud of it
Describe an object that you think is beautiful,You should say,What it is ,Where you saw it,What it looks like,And explain why you think it is beautiful
Describe a time when you needed to search for information,You shuld say,What information you needed to search for,When you searched for it,Where you searched for it,And explain why you needed to search for it
Describe the home of someone you know well and that you often visit,You should say,Whose home it is,How often you go ther,What it is like,And explain how you feel about the home
Describe an impressive English lesson you had and enjoyed it,You should say,What it was about,When you had it,What the teacher did,And explain why you enjoyed the lesson
What work do you do?,,,,,
Do you like your job?,,,,,
"Why did you choose to do that type of work(or, that job)?",,,,,
Is it interesting?,,,,,
Do you miss being a student?,,,,,
What subjects are you studying?,,,,,
Why did you choose to study that subject?,,,,,
Do you like your subject?,,,,,
Do you prefer to study in the mornings or in the afternoons?,,,,,
Are you looing forward to working?,,,,,
What's the name of your homwtown?,,,,,
Is that a big city or small place?,,,,,
Please describe your hometown a little.,,,,,
How long have you lived there?,,,,,
Do you like living there?,,,,,
What do you like most about your hometown?,,,,,
Is there anything you dislike about it?,,,,,
Do you think you'll continue living there for a long time?,,,,,
Do you plan to continue living there?,,,,,
Where would you like to live?,,,,,
Who do you live with?,,,,,
Can you describe the place where you live?,,,,,
Which room does your family spend most of the time in?,,,,,
What is the difference between where you are living now and where you have lived in the past?,,,,,
Do you prefer living in a house or a flat?,,,,,
"In the future, what type of place would you like to live in?",,,,,
What kind of neighborhood/environment/surroundings/home would you like to live in?,,,,,
What do you usually do in your house/flat/room?,,,,,
Do you like the area that you live in?,,,,,
What are some changes indeed area recently?,,,,,
Do you know any famous people in your area?,,,,,
Where do you like to go in that area?,,,,,
Do you wear a watch?,,,,,
Have you ever got a watch as a gift?,,,,,
Why do some people wear expensive watches?,,,,,
Do you think a watch is important for you? Why?,,,,,
In what conditions would you use a computer?,,,,,
When was the first time you used a computer?,,,,,
What would your life be like without computers?,,,,,
In what conditions would it be difficult for you to use a computer?,,,,,
Do you have a talent or something you are good at?,,,,,
Was it mastered recently or when you were young?,,,,,
Do you think your talent can be useful for your future work? Why?,,,,,
Do you think anyone in your family has the same talent?,,,,,
What kinds od things are boring to you?,,,,,
What will you do when you feel bored?,,,,,
What was the most boring thing you did when you were young?,,,,,
Do you think school is boring?,,,,,
Do you collect things?,,,,,
Are there any things you keep from childhood?,,,,,
Would you keep old things for a long time? Why?,,,,,
Where do you usually keep thing you need?,,,,,
Where is your favourite place to meet with your friends?,,,,,
Do you thing there are some places more suitable for meeting with others?,,,,,
Are there any differences between your favourite meeting places in the present and in your childhood?,,,,,
Why are some meeting places better than ohers?,,,,,
Are you interested in watching TV advertisements or internet advertisemetns?,,,,,
What kinds of advertisements do you dislike?,,,,,
Do you share advertisements with others?,,,,,
Do you want to work in advertising in the future?,,,,,
Where is your favourite place to sit?,,,,,
Do you always sit down for a long time?,,,,,
Do you feel sleepy when you are sitting down?,,,,,
"When you were a kid, did you usually sit on the floor?",,,,,
Have you ever seen some old buildings in the city?,,,,,
Do you think we should preserve old buildings in cities?,,,,,
Do you prefer living in an old building or a modern house?,,,,,
Are there any old buildings you want to see in the future? Why?,,,,,
Do you often read books? When?,,,,,
Do you read differently now than you did before?,,,,,
Have you ever read a novel that has been adapted into a film?,,,,,
How often do you buy a book?,,,,,
What sports do you like?,,,,,
Where did you learn how to do it?,,,,,
Did you do some sports when you were young?,,,,,
Do you think students need more exercise?,,,,,
Do you like the morning or evening?,,,,,
What do you usually do in the evening?,,,,,
What did you do in the evening when you were little? Why?,,,,,
Are there any differences between what you do in the evening now and what you did in the past?,,,,,
What is your daily study routine?,,,,,
Have you ever changed your routine?,,,,,
Do you think it is important to have a daily routine for your study?,,,,,
What part of your day do you like best?,,,,,
Do you like science?,,,,,
When did you start to learn about science?,,,,,
Which science subject is interesting to you?,,,,,
What kinds of interesting things have you done with science?,,,,,
Describe a family member who you want to work with in the future,You should say,Who he/she is,Whether you worked together before,What kind of work you would like to do with him/her,And explain how you feel about this family member
Describe a popular/well-known person in your country,You should say,Who this person is,What he/she had done,Why he/she is popular,And explain how you feel about this person
Describe a friend you like to talk with,You should say,Who he/she is,What you like to talk about,Why you like to talk with him/her,And explain how you feel about him/her
Describe something that surpries you ,You should say,What it is,How you found out about it,What you did,And explain whether it made you happy
Describe an occasion when someone gave you positive advice or suggestions about your work/study,You should say,Who the person is,What he/she said,How the advice/suggestion affected you,And explain how you felt about the advice.suggestion
Describe a way/change that helps you save a lot of time,You should say,What it is,How you implement it,How difficult it is,And explain how you feel about the way/change
Describe a time when you helped a child,You should say,When it was,How you helped him/her,Why you helped him/her,And explain how you felt about it
Describe a time when you used your cellphone to do something important,You should say,What happened,When it happened,How important the cellphone was,And explain how you felt about the experience
Describe a time you were very busy,You should say,When it happened,Where you were,What you did,And explain why you were busy
Describe a positive change that you made in your life,You should say,What it is,Why you did it,Who you did it with,And explain how you feel about the change
Describe a special day out that cost you little money,You should say,When the day was,Where you went,How much you spent,And explain how you feel about the day
Describe an important event you celebrated,You should say,What the event was,When it happened,Who attended the event,And explain how you feel about the event
Describe a contest/competition you would like to participate in it,You should say,What the contest/competition is about,Where the contest/competition will take place,When it will be held,And explain why you would like to participate in it
Describe an occasion that you lost something,You should say,What you lost,When and where you lost it,Wat you did to find it,And explain how you felt about it
Describe something you do to keep fit and healthy,You should say,What it is ,When you do it,Who you do it with,And explain why you think this method is important
Describe something you do that can help you concentrate on work/study,You should say,What is is,How it helps you concentrate,When you do it,And explain how you feel about it
Describe an important river/lake in your country,You should say,Where it is located,How big/long it is ,What it looks like,And explain why it is important
Describe a quite place you like to go,You should say,Where it is,How you knew it,How often you go there,And explain how you feel about the place
Describe a neighbor you are interested in,You should say,Who he/she is,How you knew him/her,What you do together,And explain why you are interested in him/her
Describe a traditional product in your country,You should say,What it is,When you tried this product for the first time,What it is made of,And explain how you feel about it
Describe an invention that has changed the world in a positive way,You should say,What it is,What benefits it has brought,How it influences people of different ages,And expalin how it chaged people's lives
Describe a time when you were stuck in a traffic jam,You should say,When it happened,Where you were stuck,What you did while waiting,And explain how you felt in the traffic jam
Describe a city you would recommend as a nice place to live(not your hometown),You should say,What it is,Where it is,What you know about this place,And explain why you recommend it as a nice place to live
